clojure				1.0.0
grizzly				1.9.18-e
groovy				1.6.4
h2					1.2.124
jacskon				1.3.0
jepp				2.3
jruby				1.3.1
json				?
jsr-223				?
jython				2.5.2 (Revision 6958 + patch)
log4j				1.2.15
mysqlconnector		5.1.8
pygments			1.1.1
quercus				4.0.1
restlet				2.0 (Revision 5850)
rhino				1.7R2
scripturian			1.0 (Revision 101)
slf4j				1.5.8
succinct			1.0 alpha 1
sqlalchemy			0.6 (Revision 6575)
syntaxhighlighter	2.1.364
velocity			1.6.2
